Year,Normalized_Life_Expectancy,Normalized_Infant_Mortality_Rate
1980,0.0,1.0
1985,0.3333333333333333,0.6249067859806114
1990,0.5666666666666677,0.4522744220730798
1995,0.6999999999999981,0.0
1996,0.7999999999999972,0.0790454884414616
1997,0.9333333333333323,0.02162565249813572
1998,1.0,0.04623415361670395
1999,1.0,0.024981357196122298
