WHOREGION,FLUSEASON,HEMISPHERE,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,ISO_WEEKSTARTDATE,ISO_YEAR,ISO_WEEK,SPEC_PROCESSED_NB,AH1N12009,AH1,AH3,AH5,AH7N9,ANOTSUBTYPED,ANOTSUBTYPABLE,AOTHER_SUBTYPE,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BVIC_DELUNK,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE
WPR,YR,NH,LAO,Lao People's Democratic Republic,2020-09-21,2020,39,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
WPR,YR,NH,CHN,China,2018-12-10,2018,50,11442.0,1162.0,0.0,110.0,0.0,0.0,2.0,0.0,0.0,1274.0,0.0,0.0,15.0,0.0,8.0,0.0,23.0,1297.0,10145.0
EMR,YR,NH,LBN,Lebanon,2015-09-21,2015,39,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
AMR,SH,SH,URY,Uruguay,2020-12-14,2020,51,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
SEAR,YR,NH,THA,Thailand,2018-10-15,2018,42,85.0,11.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,60.0
AMR,YR,NH,JAM,Jamaica,2015-05-18,2015,21,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
AFR,YR,NH,NGA,Nigeria,2023-08-14,2023,33,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0
SEAR,YR,NH,BGD,Bangladesh,2018-07-30,2018,31,208.0,59.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,77.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,79.0,129.0
AFR,YR,NH,NER,Niger,2022-08-15,2022,33,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
EMR,YR,NH,AFG,Afghanistan,2016-10-10,2016,41,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
AFR,YR,NH,CIV,Côte d'Ivoire,2017-01-23,2017,4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
AFR,YR,NH,SEN,Senegal,2021-04-26,2021,17,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
AMR,YR,SH,BRA,Brazil,2022-04-11,2022,15,980.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,978.0
AMR,YR,NH,BLZ,Belize,2022-01-10,2022,2,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
AMR,YR,NH,JAM,Jamaica,2015-03-09,2015,11,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0
AFR,YR,SH,MDG,Madagascar,2016-11-28,2016,48,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,10.0
AFR,YR,NH,UGA,Uganda,2017-07-10,2017,28,59.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,49.0
AMR,YR,NH,PAN,Panama,2022-03-07,2022,10,258.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,257.0
AFR,YR,NH,TGO,Togo,2022-08-22,2022,34,41.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,36.0
AMR,SH,SH,URY,Uruguay,2020-06-29,2020,27,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
SEAR,YR,SH,IDN,Indonesia,2017-11-20,2017,47,93.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,40.0,53.0
AMR,YR,NH,SLV,El Salvador,2020-09-07,2020,37,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
